iter	RMSE
0	13.83132808
1	13.51632966
2	13.18416363
3	12.8715533
4	12.54134232
5	12.20788223
6	11.89997569
7	11.62657939
8	11.34217852
9	11.08489348
10	10.87437145
11	10.62634379
12	10.41888275
13	10.17418776
14	9.955295317
15	9.747711131
16	9.559724584
17	9.359401498
18	9.172808247
19	8.993189844
20	8.823746827
21	8.657685646
22	8.505139208
23	8.360757062
24	8.217744934
25	8.071475098
26	7.949800365
27	7.837029832
28	7.713619606
29	7.601377183
30	7.484196294
31	7.384799198
32	7.298135018
33	7.19762751
34	7.093843871
35	7.005283486
36	6.919973698
37	6.841725885
38	6.782741952
39	6.716288012
40	6.664633819
41	6.590707422
42	6.526532903
43	6.466297543
44	6.402035978
45	6.347985514
46	6.297546791
47	6.260436449
48	6.204646212
49	6.150264139
50	6.102178265
51	6.060559389
52	6.021351569
53	5.988225151
54	5.954753526
55	5.912997635
56	5.883411257
57	5.85358104
58	5.819171748
59	5.791388627
60	5.759055567
61	5.731930143
62	5.710612991
63	5.689862912
64	5.659786116
65	5.629610805
66	5.598972376
67	5.577453928
68	5.555787342
69	5.529380029
70	5.501761896
71	5.477806645
72	5.455412
73	5.4421126
74	5.421579224
75	5.407465334
76	5.392312994
77	5.382435053
78	5.367182246
79	5.355159439
80	5.346758406
81	5.342411127
82	5.331519108
83	5.318133358
84	5.303594533
85	5.298643408
86	5.286453465
87	5.272456736
88	5.263314077
89	5.253964478
90	5.244627543
91	5.232232387
92	5.222094555
93	5.218768222
94	5.206111897
95	5.197248237
96	5.189674505
97	5.174183827
98	5.162194958
99	5.156425575
100	5.148351839
101	5.140677502
102	5.129981315
103	5.122206961
104	5.113299912
105	5.104907919
106	5.096014517
107	5.091966405
108	5.081921401
109	5.073668368
110	5.065219917
111	5.057644932
112	5.054128915
113	5.047380378
114	5.043201394
115	5.036087996
116	5.03284808
117	5.028298933
118	5.022450021
119	5.012591828
120	5.00799956
121	5.001214913
122	4.991814074
123	4.983556404
124	4.977910363
125	4.96872639
126	4.962714058
127	4.957945063
128	4.95317533
129	4.947986802
130	4.944191914
131	4.937142751
132	4.932954127
133	4.927886445
134	4.92471432
135	4.919373108
136	4.913879587
137	4.909741121
138	4.905238319
139	4.896322196
140	4.889085918
141	4.883906946
142	4.87754598
143	4.874739989
144	4.871044736
145	4.863669697
146	4.861718608
147	4.858950366
148	4.855374642
149	4.850391404
150	4.842004437
151	4.834455555
152	4.827278633
153	4.824237794
154	4.819380409
155	4.815920139
156	4.807167661
157	4.802693374
158	4.797531742
159	4.791602057
160	4.789878957
161	4.786561286
162	4.782434622
163	4.778391712
164	4.776253452
165	4.771850242
166	4.77102826
167	4.766895676
168	4.763302828
169	4.760628575
170	4.755023413
171	4.750275344
172	4.744078583
173	4.735288068
174	4.729205543
175	4.722476084
176	4.71962789
177	4.715460359
178	4.708197587
179	4.705181131
180	4.702223168
181	4.699459468
182	4.695049246
183	4.693115613
184	4.690336191
185	4.685483042
186	4.682546116
187	4.680275502
188	4.676450481
189	4.673488967
190	4.668009864
191	4.659896251
192	4.656158033
193	4.649595978
194	4.647248448
195	4.644271731
196	4.639321322
197	4.636224135
198	4.629403514
199	4.62492095
200	4.621629981
201	4.619042257
202	4.616087589
203	4.610084753
204	4.60730434
205	4.601733031
206	4.598665763
207	4.59335465
208	4.589708645
209	4.585040449
210	4.582320677
211	4.578858151
212	4.576900735
213	4.574633728
214	4.572866621
215	4.569636833
216	4.565767426
217	4.562087224
218	4.558973828
219	4.554530026
220	4.550504516
221	4.548751116
222	4.545318028
223	4.54241593
224	4.539177381
225	4.532702047
226	4.527717174
227	4.524792283
228	4.522017648
229	4.51811336
230	4.515347472
231	4.51191589
232	4.509871393
233	4.506833986
234	4.505080118
235	4.500511353
236	4.498656897
237	4.492340926
238	4.488796945
239	4.48606417
240	4.484706153
241	4.479765547
242	4.477513833
243	4.471989443
244	4.470469461
245	4.464698384
246	4.459184454
247	4.452119032
248	4.449853853
249	4.445647
250	4.443180379
251	4.439866512
252	4.438616947
253	4.436388449
254	4.43311674
255	4.43066037
256	4.427573401
257	4.426095307
258	4.422148323
259	4.418000801
260	4.411910689
261	4.408971561
262	4.401927616
263	4.39541004
264	4.391460882
265	4.389451002
266	4.386683832
267	4.383014443
268	4.376779226
269	4.370045692
270	4.365363878
271	4.359735082
272	4.358267699
273	4.352839615
274	4.350164921
275	4.347462603
276	4.342086149
277	4.338207719
278	4.332784957
279	4.326640507
280	4.323756848
281	4.320033838
282	4.316170516
283	4.312230159
284	4.31104413
285	4.309394967
286	4.302885549
287	4.301191481
288	4.296052477
289	4.290886926
290	4.287154068
291	4.284064377
292	4.282900119
293	4.277826148
294	4.274653446
295	4.269789551
296	4.266372274
297	4.261779401
298	4.259778927
299	4.253975678
300	4.251913372
301	4.24652648
302	4.244305964
303	4.24166444
304	4.239285606
305	4.233878708
306	4.230996733
307	4.230091735
308	4.227173469
309	4.221558977
310	4.21672071
311	4.215667216
312	4.213528313
313	4.211063573
314	4.205978164
315	4.19972557
316	4.195947471
317	4.190873567
318	4.189318603
319	4.186197789
320	4.184902964
321	4.180997366
322	4.177230977
323	4.175888185
324	4.174717375
325	4.171959383
326	4.169365582
327	4.167864837
328	4.164905947
329	4.161418844
330	4.160131967
331	4.158225959
332	4.152655677
333	4.150112527
334	4.145419838
335	4.142470085
336	4.137334551
337	4.135166789
338	4.130612208
339	4.126008216
340	4.1218817
341	4.11953925
342	4.117574896
343	4.112583764
344	4.107209306
345	4.105111272
346	4.10335013
347	4.102020108
348	4.097488284
349	4.091522499
350	4.090449476
351	4.087964528
352	4.086106421
353	4.083142003
354	4.08064534
355	4.078130308
356	4.073099628
357	4.067924974
358	4.06466743
359	4.062224973
360	4.060097725
361	4.056728536
362	4.053108633
363	4.050168847
364	4.049250436
365	4.048107441
366	4.046695977
367	4.041882277
368	4.039906578
369	4.038326093
370	4.037578689
371	4.032779947
372	4.028388933
373	4.024729612
374	4.023266843
375	4.02013268
376	4.018084719
377	4.015324037
378	4.012927171
379	4.011584938
380	4.009162653
381	4.008026844
382	4.003871508
383	4.000225535
384	3.998193063
385	3.996130778
386	3.991122166
387	3.984970311
388	3.98358457
389	3.980991702
390	3.976962224
391	3.974223041
392	3.97115904
393	3.966683064
394	3.965673645
395	3.961359342
396	3.959865013
397	3.955001909
398	3.953967269
399	3.951807126
400	3.949533481
401	3.948100782
402	3.944034882
403	3.939569234
404	3.937750542
405	3.936129158
406	3.933132439
407	3.931650858
408	3.930656887
409	3.92756602
410	3.924380101
411	3.921190024
412	3.916517309
413	3.915229918
414	3.913045556
415	3.910846048
416	3.907095369
417	3.902024198
418	3.899844307
419	3.895813597
420	3.893688156
421	3.889578055
422	3.888146879
423	3.885967488
424	3.881554234
425	3.879448883
426	3.87798726
427	3.874557955
428	3.873481324
429	3.872196833
430	3.869210418
431	3.867169193
432	3.865237804
433	3.862263745
434	3.85824395
435	3.8536401
436	3.848989796
437	3.845306995
438	3.841980039
439	3.838706382
440	3.83684454
441	3.83532607
442	3.832986307
443	3.830366559
444	3.827556949
445	3.825696644
446	3.823074494
447	3.819361044
448	3.815879956
449	3.808655017
450	3.803722609
451	3.802580175
452	3.800926979
453	3.798368724
454	3.795997633
455	3.793609638
456	3.792972744
457	3.790322554
458	3.787552518
459	3.786057935
460	3.785261055
461	3.781727866
462	3.779633264
463	3.775477402
464	3.770124666
465	3.763636448
466	3.761209884
467	3.75844617
468	3.757026792
469	3.75524391
470	3.752647317
471	3.748522672
472	3.747567665
473	3.745680669
474	3.739314678
475	3.737725632
476	3.73588341
477	3.73358074
478	3.73117547
479	3.730444088
480	3.724348624
481	3.721003098
482	3.720429182
483	3.716010657
484	3.713397588
485	3.70950061
486	3.708729715
487	3.707411954
488	3.704167738
489	3.701931284
490	3.699898569
491	3.697928772
492	3.692541364
493	3.690524571
494	3.686781486
495	3.68389099
496	3.680673906
497	3.674417764
498	3.670080839
499	3.668102396
500	3.663302498
501	3.661285461
502	3.658199124
503	3.656788991
504	3.655007299
505	3.653983638
506	3.651594506
507	3.649292976
508	3.646177575
509	3.641603907
510	3.637270123
511	3.635085958
512	3.631329645
513	3.629026527
514	3.624943209
515	3.622498822
516	3.620149083
517	3.618068017
518	3.616014228
519	3.614643146
520	3.613406323
521	3.609267329
522	3.607220833
523	3.602634186
524	3.601358232
525	3.599640056
526	3.598671349
527	3.592587864
528	3.590185185
529	3.586879729
530	3.582617445
531	3.578226591
532	3.576336129
533	3.57312713
534	3.572020111
535	3.570616883
536	3.566390616
537	3.562630612
538	3.559867969
539	3.559061971
540	3.555184161
541	3.553363097
542	3.551229976
543	3.550165721
544	3.549575748
545	3.546673141
546	3.542929059
547	3.538860352
548	3.537977279
549	3.536583081
550	3.533278786
551	3.532554246
552	3.530885647
553	3.527735069
554	3.526828188
555	3.523319749
556	3.520300989
557	3.516654315
558	3.51518381
559	3.511126868
560	3.509623911
561	3.506065631
562	3.504891621
563	3.502701455
564	3.496538898
565	3.492918311
566	3.490435931
567	3.486811047
568	3.484685936
569	3.479537078
570	3.475837097
571	3.473938542
572	3.470210145
573	3.468518452
574	3.465891961
575	3.46492123
576	3.462283462
577	3.46161449
578	3.460257365
579	3.457472126
580	3.455634058
581	3.450843722
582	3.449433412
583	3.448119254
584	3.44605903
585	3.441480677
586	3.438337125
587	3.437697764
588	3.436842818
589	3.434993601
590	3.431972206
591	3.430191697
592	3.42697989
593	3.425309329
594	3.421876836
595	3.417937757
596	3.416853535
597	3.413178115
598	3.412305834
599	3.409277848
600	3.407910354
601	3.404089218
602	3.400572336
603	3.397977268
604	3.396080374
605	3.39257015
606	3.388684903
607	3.388058522
608	3.386649252
609	3.383275004
610	3.382563896
611	3.381968133
612	3.379543102
613	3.377867892
614	3.375311113
615	3.373480092
616	3.370858564
617	3.369817546
618	3.366361646
619	3.365700947
620	3.365096376
621	3.361221123
622	3.359370316
623	3.356687032
624	3.355734022
625	3.352781349
626	3.350336648
627	3.348858449
628	3.345730053
629	3.344916067
630	3.341919223
631	3.34038828
632	3.338807667
633	3.334433595
634	3.332928411
635	3.329016292
636	3.326043593
637	3.324105012
638	3.322973328
639	3.318682899
640	3.314487681
641	3.312977663
642	3.310405219
643	3.309464617
644	3.306555109
645	3.304056681
646	3.303209967
647	3.301473784
648	3.30054448
649	3.299399643
650	3.297905072
651	3.295389565
652	3.291905331
653	3.287330834
654	3.284518614
655	3.28268221
656	3.280516504
657	3.278439048
658	3.275986384
659	3.274365381
660	3.272313846
661	3.271736632
662	3.270974563
663	3.269345843
664	3.268009358
665	3.266245491
666	3.264142696
667	3.260707377
668	3.258995151
669	3.254992778
670	3.254241443
671	3.251988183
672	3.248476517
673	3.246517372
674	3.242860888
675	3.241274413
676	3.239463888
677	3.236284174
678	3.234903608
679	3.231812817
680	3.231058254
681	3.228819126
682	3.226445235
683	3.223658735
684	3.221642419
685	3.221031423
686	3.218188701
687	3.214810428
688	3.213280143
689	3.211837764
690	3.209538384
691	3.205904937
692	3.20505123
693	3.201815054
694	3.197956896
695	3.19525542
696	3.193857458
697	3.19207453
698	3.18906226
699	3.187862699
700	3.187029952
701	3.184842143
702	3.182297595
703	3.177390765
704	3.175567403
705	3.172781926
706	3.170737712
707	3.168408687
708	3.165070075
709	3.160357918
710	3.156745298
711	3.156189018
712	3.154990339
713	3.15444636
714	3.15148533
715	3.14846379
716	3.147605185
717	3.145751521
718	3.144960735
719	3.142345462
720	3.13922519
721	3.1359411
722	3.134532985
723	3.133074712
724	3.130121634
725	3.126871434
726	3.124662416
727	3.120266105
728	3.118597307
729	3.116720779
730	3.114579889
731	3.112478504
732	3.111109084
733	3.108623146
734	3.10620255
735	3.103763284
736	3.099944894
737	3.098300293
738	3.095783139
739	3.094042364
740	3.092537747
741	3.089891924
742	3.089165663
743	3.087383427
744	3.08664982
745	3.084013737
746	3.080537458
747	3.07981284
748	3.077175938
749	3.074715761
750	3.073042383
751	3.072256696
752	3.07063771
753	3.069859683
754	3.068281698
755	3.066439198
756	3.064844328
757	3.063944623
758	3.062555297
759	3.059265194
760	3.057266918
761	3.053811658
762	3.05097335
763	3.049859972
764	3.049355923
765	3.047181381
766	3.044673316
767	3.043573235
768	3.043139885
769	3.040423416
770	3.037194146
771	3.036492649
772	3.032261969
773	3.028947848
774	3.027459393
775	3.025714783
776	3.023246607
777	3.021767219
778	3.019582536
779	3.015237108
780	3.013553294
781	3.012328405
782	3.010821273
783	3.0088081
784	3.007500572
785	3.003835259
786	3.00149075
787	2.999120077
788	2.996820369
789	2.995304026
790	2.992899596
791	2.990556764
792	2.98640722
793	2.985760051
794	2.984323474
795	2.983711785
796	2.982383364
797	2.979861027
798	2.977789356
799	2.976068601
800	2.973400978
801	2.971960683
802	2.970639133
803	2.969666759
804	2.965151358
805	2.962226242
806	2.96064246
807	2.959923717
808	2.957834647
809	2.955662551
810	2.954892598
811	2.953699269
812	2.952962481
813	2.951845076
814	2.951261129
815	2.95036798
816	2.949603709
817	2.947444307
818	2.945894821
819	2.943189886
820	2.940085881
821	2.936583153
822	2.935228057
823	2.934776587
824	2.934233572
825	2.931317113
826	2.929119893
827	2.926722344
828	2.925959699
829	2.924154629
830	2.923560126
831	2.92285702
832	2.921705152
833	2.920016011
834	2.919703258
835	2.915805437
836	2.915119826
837	2.91393325
838	2.911567992
839	2.910614772
840	2.90783311
841	2.906868272
842	2.906267955
843	2.904008368
844	2.90215077
845	2.900057808
846	2.89769336
847	2.896048133
848	2.894632669
849	2.891265316
850	2.889942914
851	2.889648668
852	2.887788473
853	2.885346073
854	2.883067072
855	2.880008876
856	2.879454957
857	2.875297699
858	2.874782542
859	2.8733283
860	2.872368994
861	2.870307204
862	2.867060809
863	2.866414686
864	2.863579685
865	2.862504061
866	2.861585067
867	2.858906948
868	2.857584564
869	2.855177455
870	2.852531867
871	2.850529156
872	2.847564599
873	2.845564483
874	2.845020605
875	2.843985511
876	2.840470513
877	2.838185908
878	2.835949712
879	2.834874704
880	2.834330023
881	2.833045816
882	2.831774752
883	2.831216045
884	2.828893401
885	2.827104875
886	2.824916392
887	2.82317582
888	2.821827325
889	2.819600088
890	2.817591985
891	2.81495311
892	2.813688184
893	2.810475071
894	2.807748654
895	2.805812814
896	2.803328573
897	2.800169096
898	2.797663514
899	2.79605454
900	2.794082863
901	2.793601869
902	2.79167998
903	2.790159503
904	2.7864054
905	2.78508664
906	2.78444387
907	2.782995374
908	2.782216839
909	2.777589847
910	2.775090471
911	2.772911513
912	2.771330629
913	2.770680035
914	2.768214726
915	2.765931266
916	2.765524099
917	2.762379731
918	2.76160449
919	2.760511969
920	2.759681881
921	2.75714723
922	2.756659517
923	2.755329997
924	2.752708681
925	2.751007247
926	2.746602865
927	2.744558348
928	2.743947294
929	2.742473682
930	2.741947362
931	2.738802487
932	2.73535833
933	2.733728353
934	2.731444853
935	2.729653204
936	2.726457527
937	2.725640714
938	2.723532394
939	2.723087513
940	2.722620916
941	2.719113609
942	2.717242133
943	2.71488915
944	2.713217359
945	2.710160959
946	2.707122262
947	2.706613051
948	2.705249682
949	2.703353917
950	2.70172959
951	2.700672495
952	2.699377151
953	2.696923721
954	2.695580674
955	2.69511396
956	2.693032032
957	2.691442698
958	2.68826437
959	2.686506422
960	2.684456772
961	2.680361106
962	2.679107822
963	2.678471853
964	2.677861441
965	2.676602412
966	2.674321331
967	2.673186996
968	2.671809035
969	2.66963632
970	2.666631043
971	2.665065846
972	2.66428955
973	2.6622009
974	2.660357535
975	2.658129018
976	2.657705587
977	2.656740386
978	2.654796229
979	2.652577783
980	2.650498678
981	2.648231271
982	2.646480698
983	2.645023518
984	2.643826213
985	2.642168224
986	2.640277329
987	2.639711792
988	2.638462044
989	2.637598805
990	2.634367737
991	2.631501202
992	2.630724146
993	2.629671205
994	2.628698465
995	2.628188838
996	2.626841551
997	2.62434035
998	2.622269374
999	2.620426343
