iter	Passed	Remaining
0	1	173
1	3	153
2	4	143
3	5	138
4	7	135
5	8	131
6	9	122
7	10	116
8	11	115
9	12	113
10	13	112
11	15	111
12	16	108
13	17	104
14	17	101
15	18	97
16	19	94
17	20	91
18	21	89
19	22	88
20	22	86
21	23	84
22	24	81
23	25	79
24	25	77
25	26	75
26	27	73
27	28	72
28	28	70
29	29	68
30	30	67
31	30	65
32	31	64
33	32	62
34	33	61
35	33	59
36	34	58
37	34	56
38	35	55
39	36	54
40	36	52
41	37	51
42	38	50
43	38	49
44	39	47
45	39	46
46	40	45
47	40	44
48	41	43
49	42	42
50	42	41
51	43	40
52	43	38
53	44	37
54	45	36
55	45	35
56	46	34
57	46	33
58	47	33
59	48	32
60	48	31
61	49	30
62	49	29
63	50	28
64	51	27
65	51	26
66	52	25
67	52	24
68	53	24
69	54	23
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	57	18
76	58	17
77	59	16
78	59	15
79	60	15
80	60	14
81	61	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	65	8
89	66	7
90	66	6
91	67	5
92	68	5
93	68	4
94	69	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
