iter	Passed	Remaining
0	1	1676
1	2	1283
2	3	1104
3	4	1013
4	4	947
5	5	906
6	6	870
7	6	844
8	7	822
9	8	804
10	8	796
11	9	781
12	10	772
13	10	763
14	11	758
15	12	754
16	13	758
17	14	768
18	15	792
19	16	788
20	16	784
21	17	783
22	18	781
23	19	777
24	19	771
25	20	767
26	21	761
27	21	757
28	22	755
29	23	753
30	23	750
31	24	746
32	25	742
33	26	740
34	26	737
35	27	733
36	28	733
37	29	736
38	30	746
39	31	746
40	31	747
41	32	745
42	33	743
43	34	740
44	34	738
45	35	735
46	36	732
47	36	730
48	37	729
49	38	726
50	38	724
51	39	721
52	40	718
53	40	716
54	41	715
55	42	713
56	43	714
57	44	718
58	45	722
59	46	721
60	46	721
61	47	721
62	48	719
63	49	718
64	49	716
65	50	714
66	51	713
67	51	712
68	52	710
69	53	708
70	53	706
71	54	704
72	55	702
73	56	701
74	56	699
75	57	699
76	58	699
77	59	705
78	60	704
79	61	704
80	62	704
81	62	702
82	63	697
83	63	696
84	64	694
85	65	692
86	65	691
87	66	690
88	67	688
89	67	686
90	68	684
91	69	683
92	69	682
93	70	680
94	71	679
95	72	678
96	73	679
97	74	683
98	75	685
99	76	687
100	77	686
101	77	684
102	78	683
103	79	682
104	79	680
105	80	679
106	81	678
107	81	676
108	82	675
109	83	673
110	83	672
111	84	671
112	85	669
113	86	668
114	87	669
115	88	671
116	89	674
117	90	675
118	91	675
119	91	674
120	92	673
121	93	670
122	93	669
123	94	668
124	95	667
125	95	665
126	96	663
127	97	662
128	98	661
129	98	660
130	99	659
131	100	658
132	100	657
133	102	660
134	104	667
135	104	666
136	105	665
137	106	665
138	107	664
139	107	663
140	108	661
141	109	658
142	109	657
143	110	656
144	111	655
145	111	654
146	112	653
147	113	652
148	113	650
149	114	649
150	115	648
151	116	650
152	117	651
153	118	653
154	120	654
155	120	653
156	121	653
157	122	652
158	123	651
159	123	650
160	124	648
161	125	648
162	126	647
163	126	646
164	127	645
165	128	644
166	128	642
167	129	641
168	130	640
169	131	641
170	133	644
171	133	644
172	134	644
173	135	643
174	136	642
175	136	641
176	137	639
177	138	638
178	138	637
179	139	636
180	140	634
181	140	633
182	141	632
183	142	631
184	142	629
185	143	628
186	144	627
187	145	627
188	146	627
189	147	629
190	148	628
191	149	627
192	149	626
193	150	625
194	151	624
195	151	623
196	152	621
197	153	620
198	153	619
199	154	618
200	155	616
201	155	615
202	156	614
203	157	613
204	157	612
205	158	611
206	159	610
207	160	609
208	161	610
209	162	612
210	163	611
211	164	610
212	164	609
213	165	608
214	166	607
215	166	606
216	167	604
217	168	603
218	168	602
219	169	601
220	170	600
221	170	599
222	171	597
223	172	596
224	172	595
225	173	594
226	174	593
227	175	593
228	176	594
229	177	593
230	178	593
231	178	592
232	179	590
233	180	589
234	180	588
235	181	587
236	182	586
237	182	585
238	183	584
239	184	583
240	184	582
241	185	581
242	186	579
243	186	578
244	187	577
245	188	576
246	188	575
247	189	575
248	191	576
249	191	575
250	192	575
251	193	574
252	194	573
253	195	573
254	195	572
255	196	571
256	197	571
257	198	570
258	198	569
259	199	568
260	200	567
261	201	566
262	201	565
263	202	564
264	203	563
265	203	562
266	205	563
267	206	563
268	206	562
269	207	561
